Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
2,1,2,5,2,2,1,2,1,2,1,4,2,2,22.0,2
1,1,2,3,1,2,1,1,1,2,1,2,10,4,58.0,1
3,1,2,3,1,2,2,1,1,9,2,3,12,4,60.0,2
2,1,2,4,2,2,1,2,1,2,1,2,10,1,5.0,1
2,1,1,5,2,2,1,4,1,1,1,3,9,3,47.0,2
3,1,1,4,4,2,1,1,1,2,1,1,4,3,32.0,1
2,1,1,4,2,2,1,1,1,2,1,3,9,3,31.0,1
2,1,2,5,2,2,1,3,4,9,1,4,9,3,42.0,2
2,1,1,3,2,2,1,1,1,1,1,2,4,3,34.0,1
2,1,2,4,2,2,1,2,1,1,1,4,4,3,38.0,2
6,1,1,3,1,2,1,2,1,1,1,2,11,3,36.0,2
2,1,1,4,2,2,1,1,1,2,1,2,8,3,38.0,1
2,1,1,3,2,2,2,1,3,6,1,2,6,3,33.0,1
2,1,1,5,2,2,1,2,1,2,1,1,8,3,31.0,2
1,1,1,4,1,2,1,1,1,1,1,2,6,3,47.0,1
2,1,2,5,2,2,1,2,1,2,1,1,9,3,42.0,2
2,1,1,5,3,2,1,1,1,9,2,5,3,4,50.0,3
2,1,1,2,1,2,1,1,1,1,1,8,4,3,45.0,4
2,1,2,3,2,2,1,1,1,9,1,7,4,2,19.0,4
3,1,1,5,4,2,1,1,1,2,1,1,7,3,39.0,1
3,1,2,5,4,2,1,2,1,1,1,6,10,3,44.0,2
2,1,1,5,2,2,1,2,1,2,2,8,8,4,57.0,3
2,1,2,6,2,2,1,1,1,2,1,6,11,2,25.0,3
-9,1,1,2,1,1,1,2,1,1,4,7,5,2,26.0,-9
2,1,1,6,2,2,1,3,1,2,1,1,2,3,31.0,2
3,1,1,4,4,2,1,2,1,1,2,3,12,3,35.0,2
3,1,1,2,1,2,1,2,1,1,2,9,8,4,53.0,4
2,1,2,2,1,2,2,1,1,2,1,8,2,3,40.0,4
2,1,1,4,2,2,1,2,1,2,1,3,8,4,59.0,2
2,1,2,2,1,1,1,2,1,1,4,7,4,1,8.0,2
2,1,1,3,2,2,1,2,1,1,1,8,2,3,38.0,4
2,1,2,3,1,2,1,1,1,2,1,6,6,2,20.0,3
3,1,2,3,1,2,1,1,1,1,1,2,8,3,41.0,1
4,1,1,6,5,2,1,1,1,2,1,4,9,2,20.0,2
2,1,2,3,2,2,2,1,1,2,2,6,12,3,45.0,3
1,1,1,4,1,2,1,1,1,2,2,1,8,4,59.0,1
2,1,1,6,2,2,1,1,1,2,1,1,4,4,60.0,2
2,1,1,6,2,2,1,2,1,2,1,5,2,3,45.0,3
1,1,1,4,3,2,1,1,1,2,1,2,3,3,35.0,2
1,1,2,3,1,2,1,1,1,2,1,2,11,3,32.0,1
2,1,1,6,2,2,1,1,1,2,1,2,12,2,19.0,1
2,1,1,4,2,2,1,2,1,2,1,9,6,3,37.0,3
1,1,1,3,1,2,2,2,1,2,1,4,7,4,51.0,2
2,1,1,4,2,2,1,2,4,2,1,2,3,3,35.0,1
2,1,2,6,2,2,2,3,3,7,1,8,11,2,20.0,4
2,1,1,4,2,2,2,2,1,2,1,8,2,3,46.0,4
2,1,2,4,2,2,1,1,1,2,1,1,8,3,39.0,1
