,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
374904,3,1,2,3,1,2,1,1,1,1,1,2,10,2,29.0,1
423314,2,1,2,2,2,2,1,1,1,1,1,4,11,3,40.0,2
451134,2,1,1,3,2,2,1,2,1,2,1,7,4,3,47.0,2
392832,3,1,2,4,1,2,1,1,1,1,1,4,8,3,34.0,2
323704,1,1,1,2,1,1,2,1,3,4,4,6,6,1,12.0,2
335911,2,1,1,3,1,2,2,2,3,9,1,7,5,2,22.0,2
354230,2,1,2,5,2,2,1,2,1,2,1,4,11,2,22.0,2
341905,2,1,2,5,2,2,1,1,1,2,2,1,3,2,28.0,2
345804,2,1,2,5,2,2,1,2,1,2,1,4,2,2,22.0,2
547771,1,1,2,3,1,2,1,1,1,2,1,2,10,4,58.0,1
549876,3,1,2,3,1,2,2,1,1,9,2,3,12,4,60.0,2
307601,2,1,2,4,2,2,1,2,1,2,1,2,10,1,5.0,1
447715,2,1,1,5,2,2,1,4,1,1,1,3,9,3,47.0,2
471541,3,1,1,4,4,2,1,1,1,2,1,1,4,3,32.0,1
509521,2,1,1,4,2,2,1,1,1,2,1,3,9,3,31.0,1
512168,2,1,2,5,2,2,1,3,4,9,1,4,9,3,42.0,2
406237,2,1,1,3,2,2,1,1,1,1,1,2,4,3,34.0,1
430030,2,1,2,4,2,2,1,2,1,1,1,4,4,3,38.0,2
481218,6,1,1,3,1,2,1,2,1,1,1,2,11,3,36.0,2
467535,2,1,1,4,2,2,1,1,1,2,1,2,8,3,38.0,1
498754,2,1,1,3,2,2,2,1,3,6,1,2,6,3,33.0,1
484548,2,1,1,5,2,2,1,2,1,2,1,1,8,3,31.0,2
460772,1,1,1,4,1,2,1,1,1,1,1,2,6,3,47.0,1
439208,2,1,2,5,2,2,1,2,1,2,1,1,9,3,42.0,2
538399,2,1,1,5,3,2,1,1,1,9,2,5,3,4,50.0,3
455360,2,1,1,2,1,2,1,1,1,1,1,8,4,3,45.0,4
351412,2,1,2,3,2,2,1,1,1,9,1,7,4,2,19.0,4
498867,3,1,1,5,4,2,1,1,1,2,1,1,7,3,39.0,1
444421,3,1,2,5,4,2,1,2,1,1,1,6,10,3,44.0,2
537435,2,1,1,5,2,2,1,2,1,2,2,8,8,4,57.0,3
362826,2,1,2,6,2,2,1,1,1,2,1,6,11,2,25.0,3
380041,-9,1,1,2,1,1,1,2,1,1,4,7,5,2,26.0,-9
486204,2,1,1,6,2,2,1,3,1,2,1,1,2,3,31.0,2
470183,3,1,1,4,4,2,1,2,1,1,2,3,12,3,35.0,2
555971,3,1,1,2,1,2,1,2,1,1,2,9,8,4,53.0,4
459006,2,1,2,2,1,2,2,1,1,2,1,8,2,3,40.0,4
566048,2,1,1,4,2,2,1,2,1,2,1,3,8,4,59.0,2
327521,2,1,2,2,1,1,1,2,1,1,4,7,4,1,8.0,2
458661,2,1,1,3,2,2,1,2,1,1,1,8,2,3,38.0,4
355270,2,1,2,3,1,2,1,1,1,2,1,6,6,2,20.0,3
464150,3,1,2,3,1,2,1,1,1,1,1,2,8,3,41.0,1
338478,4,1,1,6,5,2,1,1,1,2,1,4,9,2,20.0,2
435234,2,1,2,3,2,2,2,1,1,2,2,6,12,3,45.0,3
561801,1,1,1,4,1,2,1,1,1,2,2,1,8,4,59.0,1
534514,2,1,1,6,2,2,1,1,1,2,1,1,4,4,60.0,2
490649,2,1,1,6,2,2,1,2,1,2,1,5,2,3,45.0,3
471408,1,1,1,4,3,2,1,1,1,2,1,2,3,3,35.0,2
407241,1,1,2,3,1,2,1,1,1,2,1,2,11,3,32.0,1
