,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
524862,1,1,2,3,1,2,1,1,1,2,1,1,8,3,45.0,2
455488,2,1,2,4,2,2,1,1,1,2,2,6,11,3,47.0,3
390987,2,1,1,5,2,2,1,3,1,2,1,5,2,3,38.0,3
488414,2,1,1,6,2,2,1,2,1,2,2,5,8,3,46.0,3
338595,2,1,2,4,2,2,1,1,1,2,1,2,7,2,28.0,2
449802,1,1,2,5,1,2,1,2,1,2,1,3,11,3,39.0,2
377039,2,1,2,5,2,2,1,1,1,1,1,6,10,2,28.0,3
412002,2,1,1,3,2,2,1,1,3,7,1,2,9,3,32.0,1
367688,2,1,2,5,2,2,1,2,1,1,1,6,10,2,28.0,3
351855,2,1,1,4,2,2,1,1,1,1,1,2,10,2,21.0,1
440576,3,1,1,4,4,2,2,1,1,2,1,1,4,3,34.0,1
551331,2,1,1,5,2,2,1,2,1,2,2,5,1,4,57.0,3
565455,1,1,1,4,1,2,2,1,4,2,1,2,7,4,50.0,1
387624,5,1,1,2,1,2,1,2,1,2,1,9,4,3,40.0,4
469115,5,1,1,2,1,2,1,2,3,4,1,9,3,3,38.0,4
304867,2,1,2,2,1,1,1,1,1,2,4,9,5,1,5.0,2
541313,2,1,1,5,2,2,1,1,1,2,1,2,10,4,59.0,1
397885,6,1,1,3,2,2,2,3,1,2,1,8,4,3,45.0,3
371806,1,1,2,6,4,2,2,3,3,4,1,2,11,2,22.0,1
530989,1,1,1,5,1,2,1,3,1,2,1,9,8,3,38.0,4
373654,5,1,2,2,1,2,1,2,1,2,1,7,4,2,20.0,4
540009,2,1,1,5,2,2,1,1,1,2,1,2,6,4,60.0,1
562282,2,1,1,4,2,2,2,1,1,2,1,1,7,4,53.0,1
332839,5,1,2,5,4,2,1,1,1,2,1,2,2,2,22.0,1
487119,5,1,2,4,1,2,1,1,1,2,1,4,2,3,41.0,2
321551,3,1,2,2,1,2,1,2,1,2,1,9,6,1,8.0,4
382285,2,1,2,5,2,2,1,2,1,2,1,3,11,3,46.0,2
535587,2,1,1,4,2,2,1,1,1,1,1,5,8,4,59.0,3
516564,3,1,1,5,4,2,1,2,4,2,1,9,8,3,36.0,3
422449,1,1,1,6,2,2,1,2,1,2,1,1,8,3,31.0,2
526917,2,1,1,4,2,2,1,2,1,2,1,5,2,3,40.0,3
324429,2,1,1,5,1,2,1,3,1,2,1,9,3,1,8.0,4
459878,2,1,2,6,2,2,1,2,1,2,2,1,12,3,42.0,1
500325,2,1,1,8,2,2,1,2,1,2,1,1,2,3,42.0,2
457364,2,1,2,5,2,2,1,2,1,2,1,2,11,3,37.0,2
498071,2,1,2,3,2,2,1,1,1,2,1,2,11,3,42.0,2
397846,2,1,2,2,1,2,1,1,1,2,1,7,7,3,35.0,4
479237,2,1,2,2,1,2,1,1,1,2,1,4,7,3,47.0,2
488390,5,1,2,5,1,2,1,2,1,2,1,4,9,3,39.0,2
380592,2,1,1,5,2,2,1,2,1,1,1,5,9,3,41.0,3
377078,3,1,1,5,4,2,1,2,1,2,1,8,3,2,26.0,4
557097,2,1,1,5,2,2,1,3,1,2,1,8,4,4,58.0,4
524705,1,1,2,3,1,2,2,1,1,2,1,2,10,3,35.0,1
377128,2,1,2,6,2,2,1,3,1,2,1,4,11,2,17.0,2
465978,2,1,2,4,2,2,1,2,1,2,1,2,10,3,42.0,1
506474,1,1,2,2,1,2,2,1,1,2,2,6,12,3,35.0,3
405804,2,1,1,3,2,2,1,1,1,2,2,5,3,3,36.0,3
400921,2,1,2,5,2,2,1,2,1,2,1,6,11,3,40.0,4
563306,1,1,1,5,1,2,1,1,1,1,1,5,3,4,59.0,3
379177,5,1,2,4,4,2,1,1,1,2,1,4,11,2,17.0,2
434241,2,1,1,4,2,2,1,1,1,2,2,3,8,3,45.0,2
421675,1,1,1,4,2,2,2,2,1,2,1,9,2,3,34.0,4
421035,3,1,2,4,4,2,1,1,1,2,1,9,2,3,46.0,4
510857,2,1,1,4,2,2,1,2,1,1,1,1,7,3,36.0,1
564890,2,1,1,4,2,2,2,2,1,2,1,9,5,4,56.0,4
384253,2,1,2,3,2,2,1,1,1,2,1,4,2,3,37.0,2
557890,2,1,1,5,2,2,1,2,1,2,1,2,10,4,50.0,1
383087,5,1,2,3,1,2,1,1,1,1,2,1,5,3,47.0,2
492428,2,1,1,5,2,2,1,3,3,7,1,8,4,3,40.0,4
331017,5,1,2,2,1,2,1,2,1,1,1,4,4,2,19.0,2
361563,2,1,1,7,2,2,1,3,1,2,2,5,6,2,24.0,3
496031,2,1,2,3,2,2,1,1,1,2,1,4,7,3,36.0,2
464088,2,1,2,4,2,2,1,1,1,2,1,2,11,3,38.0,1
417125,2,1,2,3,2,2,1,2,1,2,1,2,11,3,39.0,2
523793,1,1,1,3,1,2,2,2,1,2,1,5,3,3,43.0,3
434998,2,1,1,5,2,2,1,2,1,2,1,2,4,3,31.0,1
362483,1,1,1,3,1,2,1,2,1,9,1,7,4,2,24.0,4
554301,1,1,1,6,4,2,2,1,1,2,1,9,11,4,53.0,4
314221,3,1,1,6,3,2,2,2,1,2,2,5,3,1,8.0,3
472858,5,1,2,5,3,2,1,2,1,2,1,2,10,3,46.0,1
349113,2,1,2,5,2,2,1,2,1,2,1,4,9,2,23.0,2
420889,2,1,2,6,2,2,1,1,1,2,1,6,9,3,35.0,4
392260,3,1,2,4,1,2,2,1,1,2,1,1,6,3,42.0,1
335377,3,1,2,4,1,2,1,2,1,9,1,7,5,2,26.0,2
445042,2,1,2,6,2,2,2,2,3,4,1,8,2,3,32.0,3
556394,1,1,2,6,5,2,1,2,1,2,1,1,4,4,53.0,2
375693,3,1,1,4,2,2,2,2,5,2,1,6,8,2,29.0,3
438216,3,1,1,4,4,2,1,2,1,1,1,4,9,3,35.0,2
530673,2,1,2,5,2,2,1,2,1,1,1,8,4,3,43.0,4
547012,2,1,2,3,2,2,1,2,1,2,1,3,7,4,57.0,1
470446,2,1,2,4,2,2,1,2,1,1,1,1,9,3,37.0,1
499692,2,1,2,4,2,2,1,2,1,2,2,6,11,3,32.0,3
311213,2,1,2,5,2,2,1,2,1,1,1,4,2,1,13.0,2
549795,2,1,1,2,2,2,1,1,1,1,1,5,3,4,60.0,3
359177,5,1,2,4,4,2,1,2,1,2,1,4,11,2,23.0,2
512578,5,1,1,2,1,1,1,2,2,2,4,4,7,3,44.0,2
503488,1,1,2,3,1,2,1,1,1,9,1,4,8,3,32.0,2
511054,1,1,2,4,4,2,2,1,1,2,1,2,11,3,48.0,2
438220,1,1,2,5,4,2,1,1,1,9,1,3,10,3,45.0,2
317320,2,1,2,5,2,2,1,2,1,1,1,4,8,1,15.0,2
369808,5,1,2,5,1,2,1,3,4,2,1,7,4,2,27.0,4
434524,1,1,2,2,1,2,2,1,3,3,1,6,11,3,39.0,3
487849,1,1,1,4,1,2,1,3,1,2,1,4,11,3,42.0,2
511182,2,1,2,3,2,2,2,2,1,1,1,1,5,3,44.0,1
339989,2,1,2,5,2,2,1,2,1,1,1,4,8,2,16.0,2
434046,3,1,1,3,1,2,1,1,1,1,1,9,4,3,45.0,3
465929,1,1,1,3,1,2,1,1,1,2,1,4,4,3,33.0,2
334869,2,1,2,4,2,2,2,1,4,2,1,2,11,2,25.0,2
426306,2,1,1,4,2,2,1,1,1,1,1,4,9,3,46.0,2
317832,2,1,2,7,2,2,1,2,1,2,1,7,4,1,2.0,4
485763,3,1,2,3,1,2,1,2,1,1,1,6,11,3,37.0,4
329299,2,1,2,2,1,1,1,1,1,2,4,7,4,2,27.0,2
438968,3,1,2,3,1,2,1,2,1,1,1,3,9,3,36.0,2
399386,2,1,1,5,2,2,1,1,1,2,1,1,2,3,35.0,1
348937,2,1,1,6,2,2,1,1,1,2,1,8,8,2,21.0,4
414409,2,1,1,4,2,2,1,3,1,2,1,2,8,3,32.0,1
421621,1,1,2,6,4,2,2,1,1,2,1,1,5,3,44.0,2
566057,2,1,1,5,2,2,2,1,1,1,1,2,7,4,57.0,1
491721,3,1,2,8,5,2,2,2,1,2,1,2,11,3,38.0,2
309304,2,1,2,4,2,2,1,1,1,1,1,2,8,1,2.0,1
330612,1,1,1,4,1,2,1,2,4,1,1,7,4,2,19.0,4
516519,-9,3,2,3,1,2,2,1,1,9,1,3,6,3,33.0,-9
516198,1,1,1,6,5,2,2,2,5,6,2,3,4,3,32.0,2
546332,5,1,1,2,1,2,1,1,1,2,2,5,3,4,49.0,3
388963,3,1,2,3,1,2,1,1,1,1,1,6,11,3,38.0,4
566251,2,1,1,3,2,2,2,1,1,9,2,1,6,4,52.0,1
450250,3,1,1,4,1,2,1,2,1,1,1,2,7,3,40.0,1
538476,2,1,1,6,2,2,1,1,1,2,2,5,8,4,51.0,3
447300,5,1,2,3,4,2,1,2,1,1,1,5,7,3,44.0,3
478624,3,1,1,3,1,2,1,2,1,1,1,5,3,3,31.0,3
304386,2,1,2,5,2,2,1,2,1,2,1,9,10,1,2.0,4
308013,2,1,2,6,2,2,1,3,1,2,1,4,12,1,9.0,2
484165,2,1,2,3,2,2,1,1,1,2,1,3,8,3,44.0,2
449202,2,1,1,5,2,2,1,2,1,2,2,1,8,3,45.0,2
527656,2,1,2,6,2,2,1,2,1,3,1,3,11,3,39.0,2
526703,1,1,2,3,1,2,1,1,1,1,1,1,12,3,35.0,2
327524,2,1,2,6,2,2,1,1,1,2,1,7,4,1,11.0,4
395415,1,1,2,5,4,2,1,1,1,2,1,8,2,3,40.0,4
503583,1,1,2,3,1,2,2,2,1,2,2,6,11,3,45.0,4
331263,3,1,2,4,4,2,1,1,1,1,2,4,8,2,25.0,2
303912,2,1,2,2,1,1,1,1,1,2,4,7,4,1,13.0,2
315076,2,1,2,6,2,2,1,3,1,1,1,9,8,1,3.0,4
456962,2,1,2,6,2,2,1,2,1,2,1,4,12,3,48.0,2
346250,5,1,2,4,3,2,1,1,1,2,1,6,10,2,27.0,4
549525,2,1,1,5,2,2,1,1,1,1,1,1,2,4,52.0,1
441310,2,1,1,3,2,2,1,1,1,1,1,1,11,3,41.0,2
312002,2,1,2,4,2,2,2,1,3,8,1,4,8,1,7.0,2
312668,2,1,2,2,1,2,1,1,1,9,2,3,10,1,11.0,2
303623,3,1,2,4,1,2,1,1,1,2,1,1,8,1,9.0,1
428028,2,1,1,3,1,2,1,1,3,4,1,3,7,3,43.0,1
546292,2,1,1,4,2,2,1,1,1,1,1,1,10,4,58.0,1
345167,1,1,1,6,2,2,2,3,1,2,2,3,7,2,16.0,2
417853,2,1,1,4,2,2,1,1,1,1,1,1,4,3,46.0,2
442959,3,1,1,4,1,2,1,2,1,2,1,8,2,3,33.0,4
455739,2,1,1,2,1,2,1,1,3,6,1,3,8,3,40.0,2
377757,2,1,1,5,2,2,1,1,1,2,1,1,12,2,20.0,2
363833,3,1,2,4,1,2,1,2,1,2,1,4,9,2,29.0,2
330630,2,1,2,6,2,2,1,2,1,2,1,7,4,2,22.0,4
464357,2,1,1,7,2,2,2,1,3,1,2,3,4,3,31.0,2
354789,3,1,2,2,1,2,1,1,1,2,1,7,4,2,17.0,2
447864,1,1,1,2,1,2,1,1,1,1,1,2,6,3,31.0,1
322398,2,1,1,2,1,2,1,3,1,1,1,4,6,1,8.0,2
353534,3,1,2,3,1,2,1,2,1,2,1,3,11,2,22.0,2
398276,2,1,2,4,2,2,1,2,1,2,1,6,11,3,35.0,2
488703,2,1,2,3,2,2,1,1,1,2,1,2,8,3,36.0,1
567227,1,1,2,3,1,2,2,1,3,3,1,2,11,4,57.0,1
567970,2,1,2,3,1,2,1,1,1,2,1,2,10,4,49.0,1
318469,2,1,2,2,1,2,1,3,1,2,1,4,11,1,12.0,2
503612,3,1,2,3,1,2,1,2,1,1,1,6,10,3,47.0,3
358481,5,1,2,4,3,2,1,2,1,2,1,3,4,2,22.0,2
315323,2,1,2,5,2,2,1,2,1,2,1,3,12,1,6.0,2
374834,5,1,2,4,1,2,1,2,4,1,1,6,10,2,30.0,3
451878,2,1,2,5,2,2,1,2,1,2,1,4,2,3,31.0,2
394926,1,1,2,7,1,2,1,2,1,2,1,7,12,3,39.0,4
547154,2,1,1,3,2,2,2,1,1,2,1,8,4,4,56.0,4
306265,1,1,2,2,1,1,1,2,2,1,4,9,8,1,10.0,2
409876,5,1,2,4,4,2,1,1,1,1,1,3,8,3,44.0,2
444206,5,1,2,3,4,2,1,1,1,1,1,3,8,3,44.0,2
434183,5,1,1,2,1,2,1,1,1,1,1,3,12,3,45.0,2
446147,1,1,1,5,4,2,1,2,1,9,1,9,3,3,46.0,4
374180,1,1,1,5,2,2,2,1,5,6,2,2,6,2,16.0,1
435556,2,1,2,4,2,2,2,2,3,4,1,1,7,3,42.0,1
453983,3,1,2,3,1,2,1,2,1,2,1,6,11,3,48.0,2
352863,2,1,1,7,2,2,1,2,1,2,1,9,4,2,16.0,4
473081,2,1,2,3,2,2,1,3,1,2,1,3,4,3,33.0,2
550370,3,1,1,3,1,2,1,2,1,1,1,8,6,4,56.0,4
470347,2,1,1,5,2,2,1,2,1,1,1,5,9,3,45.0,3
481858,2,1,1,6,2,2,1,2,1,2,1,9,8,3,35.0,3
347400,2,1,2,3,2,2,2,2,1,2,2,9,8,2,20.0,4
364123,3,1,2,4,4,2,1,1,1,1,1,3,11,2,25.0,2
485067,2,1,2,6,2,2,1,2,1,1,1,4,12,3,47.0,2
389986,3,1,1,5,1,2,1,2,1,2,1,5,4,3,35.0,3
466758,1,1,2,5,1,2,1,2,1,8,1,4,3,3,48.0,2
309284,2,1,2,6,2,2,1,2,1,2,1,7,4,1,10.0,4
342242,2,1,2,4,2,2,1,3,1,2,1,6,10,2,29.0,3
546266,2,1,1,4,2,2,1,1,1,1,1,3,9,4,58.0,2
554006,1,1,1,4,1,2,1,2,1,2,1,1,9,4,58.0,2
380537,2,1,1,3,2,2,2,1,3,6,1,8,5,3,32.0,4
369829,2,1,2,4,2,2,1,1,1,1,1,6,10,2,24.0,3
316712,2,1,2,6,2,2,2,1,1,2,1,2,10,1,12.0,1
367319,2,1,1,4,2,2,2,1,3,6,2,3,9,2,23.0,2
527665,2,1,1,4,2,2,1,1,1,9,2,2,8,3,38.0,1
370200,2,1,2,2,1,1,2,3,3,6,4,6,11,2,26.0,2
531680,3,1,2,3,1,2,1,1,1,2,1,1,4,3,44.0,2
386783,2,1,1,4,2,2,1,3,1,1,2,5,3,3,36.0,3
382539,2,1,2,6,2,2,1,2,1,9,1,4,7,3,32.0,2
358927,2,1,2,5,2,2,1,1,4,2,2,2,10,2,22.0,1
402376,3,1,2,4,4,2,1,2,1,2,1,4,3,3,42.0,2
473897,3,1,2,3,1,2,2,2,1,2,1,9,2,3,37.0,4
455368,2,1,2,5,2,2,1,3,1,1,1,4,10,3,34.0,2
386440,4,1,1,3,1,2,1,1,1,1,1,5,3,3,33.0,3
465680,2,1,1,4,2,2,1,1,1,2,1,1,2,3,34.0,1
464666,5,1,1,3,1,2,1,1,1,1,1,3,8,3,42.0,2
455831,3,1,1,3,1,2,1,2,1,1,1,2,10,3,43.0,1
318496,5,1,1,3,1,1,2,1,4,1,4,7,4,1,5.0,2
368328,3,1,1,3,2,2,1,1,3,6,1,5,7,2,27.0,4
475520,1,1,1,4,1,2,1,2,1,1,1,5,3,3,42.0,3
492814,2,1,2,5,2,2,1,1,1,2,1,9,2,3,43.0,4
503836,2,1,1,6,2,2,2,1,4,2,1,2,2,3,40.0,1
536235,2,1,2,4,2,2,1,1,1,2,1,2,11,4,53.0,2
346607,2,1,2,5,2,2,1,2,1,2,1,6,10,2,20.0,3
443817,2,1,1,3,1,2,1,1,1,2,1,2,10,3,39.0,1
538791,1,1,1,3,1,2,2,1,1,2,2,1,4,4,58.0,2
332372,2,1,2,4,2,2,1,1,1,2,1,4,3,2,25.0,2
424357,2,1,1,6,2,2,1,1,1,2,1,3,6,3,34.0,2
460797,5,1,2,4,3,2,2,2,1,2,1,4,4,3,44.0,2
403697,5,1,2,4,4,2,1,2,1,1,1,7,8,3,32.0,2
484888,2,1,2,5,2,2,2,3,3,7,2,4,6,3,44.0,2
368292,2,1,1,4,2,2,2,1,3,6,2,8,6,2,26.0,4
485129,2,1,2,4,2,2,1,1,1,9,1,7,4,3,48.0,4
453723,2,1,1,5,2,2,1,2,1,2,1,8,2,3,31.0,4
381790,3,1,1,3,1,2,2,2,1,1,1,7,4,3,32.0,4
495578,2,1,1,4,2,2,1,2,1,1,1,8,4,3,36.0,4
350893,5,1,1,3,4,2,1,2,1,2,2,5,3,2,18.0,3
521482,3,1,2,3,1,2,2,1,1,2,1,2,8,3,37.0,1
448163,2,1,1,3,2,2,1,2,1,1,1,5,2,3,44.0,3
303153,3,1,2,5,4,2,1,2,1,2,1,9,11,1,9.0,4
310965,1,1,2,6,1,2,1,2,1,2,1,2,9,1,1.0,1
514399,2,1,1,6,2,2,1,3,1,1,1,8,8,3,44.0,3
454336,2,1,1,5,2,2,1,1,1,2,1,8,2,3,48.0,3
446170,2,1,1,4,2,2,1,1,1,2,1,5,4,3,32.0,3
477556,2,1,1,4,2,2,1,2,1,2,1,2,6,3,40.0,1
514160,2,1,1,3,2,2,2,2,3,4,1,4,4,3,38.0,2
534264,1,1,1,3,1,2,2,2,3,2,1,5,4,4,55.0,3
555575,1,1,2,3,1,2,2,1,3,4,1,2,8,4,50.0,1
393522,2,1,2,2,1,2,1,1,1,1,1,4,2,3,37.0,2
401951,2,1,1,5,2,2,1,2,1,1,1,5,12,3,40.0,3
449678,3,1,1,2,1,2,1,1,1,1,1,2,7,3,32.0,1
374191,2,1,2,4,2,2,1,2,1,1,1,6,10,2,29.0,3
514060,2,1,2,5,2,2,1,2,4,2,1,6,11,3,37.0,4
501493,4,1,2,5,4,2,1,1,1,2,1,2,10,3,39.0,1
367811,3,1,2,2,1,2,1,2,4,2,1,1,12,2,18.0,2
540497,2,1,1,4,2,2,1,2,1,1,2,2,8,4,52.0,1
365647,2,1,2,6,2,2,1,1,1,2,1,1,11,2,23.0,1
411693,3,1,2,5,1,2,1,2,4,2,1,3,9,3,36.0,2
538875,3,1,1,3,3,2,1,1,1,1,1,5,5,4,57.0,3
403148,1,1,1,3,1,2,2,2,1,1,1,5,5,3,38.0,3
403867,2,1,1,6,2,2,1,2,1,2,1,5,1,3,47.0,3
532843,2,1,1,5,2,2,1,2,1,1,1,3,10,3,35.0,2
458431,2,1,1,3,2,2,1,1,1,1,1,2,11,3,42.0,1
382639,1,1,1,6,1,2,1,2,1,9,1,8,6,3,33.0,3
340457,2,1,2,4,2,2,1,2,1,2,1,6,11,2,17.0,3
322579,2,1,1,6,2,2,2,4,1,2,2,2,8,1,7.0,1
435283,2,1,2,3,1,2,1,1,3,6,1,2,10,3,35.0,1
455674,2,1,1,3,2,2,1,1,1,2,1,2,6,3,31.0,1
367540,2,1,1,5,2,2,2,2,3,7,1,8,2,2,27.0,4
568456,2,1,1,4,2,2,1,2,1,2,2,3,8,4,52.0,2
407677,2,1,1,4,2,2,1,1,1,2,1,3,6,3,44.0,2
528491,3,1,1,6,4,2,1,2,1,9,1,8,8,3,33.0,4
421063,2,1,2,4,2,2,1,2,1,2,1,5,2,3,31.0,3
454812,2,1,2,3,2,2,1,1,1,2,1,1,9,3,33.0,1
403737,1,1,2,3,1,2,1,1,1,2,1,2,10,3,44.0,1
419230,1,1,1,7,5,2,1,1,1,2,1,1,12,3,40.0,1
497146,2,1,1,4,2,2,1,1,3,1,2,2,4,3,39.0,1
369335,1,1,2,7,4,2,1,3,1,1,1,6,11,2,17.0,3
492152,5,1,2,5,5,2,1,1,1,2,1,4,9,3,43.0,2
550464,2,1,1,4,2,2,1,2,1,2,2,2,3,4,57.0,1
321685,5,1,2,2,1,1,1,1,1,2,4,7,4,1,10.0,2
501789,1,1,1,3,1,2,2,2,1,2,1,9,4,3,46.0,4
381419,2,1,1,4,2,2,1,1,1,2,1,3,8,3,35.0,2
351572,2,1,2,4,3,2,1,1,1,2,1,9,6,2,29.0,4
434646,1,1,1,5,4,2,1,2,1,2,1,1,4,3,40.0,1
488540,2,1,2,2,1,1,1,1,1,2,4,1,5,3,43.0,2
446612,2,1,1,6,2,2,1,1,1,2,2,1,4,3,34.0,2
410749,3,1,1,2,1,2,1,2,1,1,1,4,2,3,42.0,2
437415,2,1,1,5,2,2,1,2,1,1,1,1,11,3,44.0,1
504922,2,1,1,2,1,2,2,1,1,2,2,9,3,3,39.0,4
475385,2,1,2,2,1,2,1,1,2,9,1,7,12,3,42.0,2
542901,3,1,2,3,1,2,1,1,1,1,1,2,11,4,51.0,1
428472,2,1,1,4,2,2,1,2,1,2,1,1,3,3,35.0,1
518617,2,1,1,3,2,2,2,1,3,9,1,1,4,3,42.0,2
303057,2,1,2,5,2,2,1,1,1,1,1,6,11,1,2.0,3
387215,3,1,1,3,1,2,2,1,1,2,1,8,6,3,36.0,4
513540,2,1,1,5,2,2,2,1,3,7,1,8,6,3,33.0,3
495784,1,1,1,5,2,2,1,2,1,1,2,1,4,3,47.0,2
304521,2,1,2,6,2,2,1,2,1,2,1,2,11,1,15.0,2
473271,1,1,2,5,1,2,1,2,1,1,1,4,8,3,41.0,2
492397,2,1,1,7,2,2,2,2,1,5,1,1,8,3,37.0,1
473445,1,1,2,5,1,2,1,2,1,9,1,6,3,3,45.0,4
310829,2,1,2,4,2,2,1,1,1,2,1,2,10,1,14.0,1
448326,2,1,1,5,2,2,1,1,1,2,1,8,6,3,36.0,4
303706,2,1,1,7,2,2,2,2,3,7,2,7,4,1,3.0,4
466322,2,1,2,4,1,2,1,1,1,2,1,4,9,3,36.0,2
435448,1,1,1,3,1,2,1,1,1,8,1,5,2,3,31.0,3
302829,2,1,2,5,2,2,1,2,1,2,1,6,11,1,6.0,3
393439,3,1,1,3,1,2,1,1,1,1,1,5,2,3,47.0,3
543049,3,1,1,3,1,2,1,1,1,2,1,5,3,4,57.0,3
320883,2,1,2,2,1,1,1,1,5,2,4,6,12,1,10.0,2
383614,3,1,1,3,4,2,1,1,1,2,1,3,9,3,48.0,2
324502,2,1,1,4,2,2,2,2,1,6,2,7,6,1,1.0,2
372570,2,1,2,6,2,2,2,2,1,2,1,6,10,2,16.0,4
331194,3,1,2,3,1,2,1,2,1,2,1,6,11,2,18.0,4
381223,2,1,2,3,1,2,1,2,1,2,1,3,9,3,38.0,2
526663,1,1,1,3,1,2,1,1,1,1,1,4,12,3,38.0,2
470571,2,1,1,7,2,2,1,1,1,1,1,3,7,3,40.0,1
382926,2,1,1,6,2,2,2,2,1,3,1,2,10,3,42.0,1
456520,3,1,2,3,1,2,2,1,1,1,1,2,10,3,42.0,1
500342,3,1,1,4,4,2,1,1,1,2,1,8,2,3,42.0,4
329610,2,1,2,5,2,2,1,2,1,2,1,4,9,2,26.0,2
439108,6,1,2,4,1,2,2,1,5,9,1,2,9,3,31.0,1
357739,5,1,2,4,3,2,1,2,1,2,1,4,10,2,24.0,2
307437,1,1,1,4,1,2,1,3,1,1,2,5,3,1,12.0,3
479732,1,1,1,3,1,2,2,3,3,2,1,6,11,3,46.0,4
452616,5,1,2,4,1,2,1,3,1,2,1,9,12,3,43.0,4
331481,2,1,2,4,2,2,1,3,1,2,1,4,2,2,21.0,2
337315,5,1,2,4,1,2,1,2,1,1,1,7,4,2,19.0,4
376056,2,1,2,5,2,2,1,2,1,2,1,3,10,2,29.0,2
422522,2,1,1,2,1,2,1,2,1,2,1,9,3,3,33.0,4
533988,-9,1,2,6,1,2,2,2,3,2,1,6,11,3,45.0,-9
453627,3,1,2,4,1,2,1,2,1,2,1,7,4,3,41.0,3
490260,3,1,1,3,1,2,1,1,1,2,1,4,7,3,39.0,2
545799,2,1,1,3,1,2,1,1,1,2,1,1,9,4,53.0,1
493886,2,1,2,3,2,2,1,1,1,2,2,5,5,3,47.0,3
509699,1,1,1,3,2,2,1,2,1,2,2,3,8,3,48.0,2
425619,2,1,2,6,2,2,1,1,1,2,1,4,7,3,40.0,2
484764,3,1,1,4,1,2,1,1,1,2,1,5,4,3,45.0,3
488639,2,1,2,5,2,2,1,1,1,2,1,4,11,3,43.0,2
377752,2,1,2,6,2,2,1,3,1,2,1,4,11,2,17.0,2
399452,2,1,2,2,1,2,1,1,1,9,1,2,8,3,39.0,1
344241,2,1,2,4,2,2,1,2,1,2,1,6,11,2,28.0,3
510824,2,1,1,3,1,2,1,2,1,1,2,6,3,3,32.0,4
478872,2,1,2,4,2,2,1,2,1,2,1,4,11,3,45.0,2
343733,2,1,2,5,2,2,1,1,1,2,1,4,3,2,28.0,2
475597,2,1,1,3,2,2,1,1,3,6,2,8,10,3,36.0,3
314234,2,1,1,6,2,2,1,2,1,1,1,8,2,1,2.0,4
463716,2,1,2,5,2,2,1,2,1,2,1,2,11,3,42.0,2
507248,2,1,1,5,2,2,2,2,3,6,2,8,6,3,41.0,4
361604,2,1,2,7,2,2,2,2,1,2,1,1,10,2,25.0,2
497872,2,1,1,4,2,2,2,1,3,6,1,5,5,3,46.0,3
565612,3,1,1,5,1,2,1,3,1,2,1,5,5,4,54.0,3
356869,2,1,2,3,2,2,1,1,1,2,1,2,10,2,20.0,1
462207,1,1,2,3,1,2,1,1,1,2,1,4,11,3,43.0,2
471773,2,1,2,2,1,2,1,1,1,1,1,1,12,3,41.0,2
427224,4,1,1,4,1,2,1,2,1,1,1,9,5,3,43.0,4
523025,2,1,2,3,2,2,2,1,5,2,1,4,8,3,45.0,2
345057,2,1,2,4,2,2,1,2,1,2,1,4,11,2,22.0,2
521600,2,1,2,3,2,2,2,1,1,2,1,2,8,3,38.0,1
544929,2,1,1,4,2,2,1,2,1,1,1,5,5,4,59.0,3
315002,2,1,1,6,2,2,1,2,1,2,1,5,2,1,15.0,3
474797,3,1,1,4,1,2,1,1,1,1,1,2,9,3,37.0,1
307238,2,1,1,7,2,2,1,2,1,9,1,1,8,1,4.0,2
381652,2,1,1,6,2,2,1,2,1,2,1,5,2,3,48.0,3
403666,2,1,1,3,2,2,1,2,1,1,1,3,11,3,40.0,2
522471,3,1,1,3,1,2,2,1,1,2,1,3,4,3,45.0,2
501871,2,1,1,4,2,2,1,2,1,2,1,3,9,3,47.0,2
438656,4,1,1,2,1,2,1,2,1,2,1,5,2,3,43.0,3
327765,-9,1,1,2,1,1,1,1,1,2,4,7,4,1,3.0,-9
552049,2,1,1,6,2,2,2,1,1,2,1,1,4,4,58.0,1
464026,1,1,2,3,1,2,1,1,1,1,1,2,10,3,32.0,1
522038,4,1,1,5,3,2,1,1,1,2,2,5,3,3,31.0,3
318921,1,1,1,4,1,2,1,3,1,5,1,9,4,1,15.0,4
371234,2,1,1,5,2,2,2,1,3,6,1,8,6,2,28.0,4
492057,2,1,2,3,2,2,1,3,1,2,1,7,7,3,43.0,2
473312,3,1,1,5,1,2,1,2,1,2,1,3,10,3,40.0,2
485791,1,1,1,5,2,2,2,3,3,3,2,5,6,3,38.0,3
386708,2,1,1,5,2,2,2,2,3,6,2,7,4,3,44.0,4
526874,2,1,2,6,2,2,1,2,1,2,1,4,10,3,46.0,2
475104,3,1,2,2,1,2,1,1,1,2,1,2,11,3,31.0,1
345351,2,1,1,2,1,2,1,1,1,1,1,2,8,2,26.0,1
415511,1,1,2,4,1,2,2,2,1,9,1,9,2,3,47.0,4
500808,3,1,1,5,2,2,1,2,1,2,1,8,6,3,40.0,4
551512,2,1,1,3,2,2,1,1,1,2,1,5,6,4,59.0,3
541948,2,1,1,4,2,2,1,1,1,2,1,1,2,4,54.0,1
405417,1,1,1,3,1,2,1,2,1,2,2,5,3,3,33.0,3
326540,2,1,2,7,2,2,1,3,1,9,1,9,2,1,2.0,4
